category,published_year,avg_predicted_adview,videos
0,2011,9.79875,4
0,2012,379.07382352941175,17
0,2013,140.93333333333334,39
0,2014,617.7936,25
0,2015,2748.1142307692307,39
0,2016,1626.5271296296296,54
0,2017,4629.841666666666,3
1,2006,12.275,1
1,2007,14.49,1
1,2008,261.09,2
1,2010,10.78,1
1,2011,62.23375,4
1,2012,92.9935,20
1,2013,154.80363636363637,55
1,2014,447.61644329896905,97
1,2015,1511.1637050359714,139
1,2016,2668.6838353413655,249
1,2017,13963.494722222222,18
2,2008,8.7,1
2,2010,5.965,1
2,2011,88.84055555555557,18
2,2012,12.783888888888889,18
2,2013,170.05175925925926,54
2,2014,1823.7319841269841,63
2,2015,906.7392672413794,116
2,2016,1341.0578773584907,106
2,2017,25933.979285714282,7
3,2006,24.334999999999997,10
3,2007,6.28125,4
3,2008,12425.4984375,16
3,2009,6032.239827586206,29
3,2010,50.77239583333333,96
3,2011,81.68194078947369,152
3,2012,785.5675846153846,325
3,2013,666.3248184818482,606
3,2014,477.9842955618508,706
3,2015,1744.2302614697523,821
3,2016,3565.774717807176,1501
3,2017,9574.871819172115,153
4,2009,36.37,1
4,2010,93.88,6
4,2011,32.046891891891896,74
4,2012,601.5191025641026,39
4,2013,194.6007075471698,106
4,2014,398.3487244897959,98
4,2015,3322.300177777778,225
4,2016,3277.2772111742424,352
4,2017,7790.97696969697,33
5,2008,506.945,2
5,2009,306.32875,4
5,2010,18.765,1
5,2011,399.9732142857143,14
5,2012,236.94850000000002,40
5,2013,146.3137962962963,54
5,2014,387.875,22
5,2015,1260.2769343065693,137
5,2016,2396.226,230
5,2017,6200.360862068966,29
6,2005,8.945,1
6,2006,33.307500000000005,2
6,2007,273.9275,2
6,2008,149.14071428571427,7
6,2009,918.1002941176471,17
6,2010,173.09006666666664,75
6,2011,1727.689732142857,56
6,2012,197.34255555555555,135
6,2013,384.55661943319836,247
6,2014,813.2225096525096,259
6,2015,2760.9169811320753,265
6,2016,3421.0161,350
6,2017,7340.110857142858,35
7,2011,120.2675,2
7,2012,33.025,4
7,2013,307.40777777777777,9
7,2014,1676.536568627451,51
7,2015,3660.6316883116883,77
7,2016,4088.1901739130435,115
7,2017,2264.2391176470587,17
